INFO:     Started server process [38340]
INFO:     Waiting for application startup.
2026-03-12 02:35:22,795 | INFO | apscheduler.scheduler | Added job "build_scheduler.<locals>.<lambda>" to job store "default"
2026-03-12 02:35:22,796 | INFO | apscheduler.scheduler | Added job "build_scheduler.<locals>.<lambda>" to job store "default"
2026-03-12 02:35:22,797 | INFO | apscheduler.scheduler | Added job "build_scheduler.<locals>.<lambda>" to job store "default"
2026-03-12 02:35:22,798 | INFO | apscheduler.scheduler | Added job "build_scheduler.<locals>.<lambda>" to job store "default"
2026-03-12 02:35:22,798 | INFO | apscheduler.scheduler | Scheduler started
INFO:     Application startup complete.
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2026-03-12 02:35:28,051 | INFO | httpx | HTTP Request: GET https://query1.finance.yahoo.com/v8/finance/chart/%5EKS11?range=3mo&interval=1d "HTTP/1.1 200 OK"
2026-03-12 02:35:28,976 | INFO | httpx | HTTP Request: GET https://query1.finance.yahoo.com/v8/finance/chart/%5EKQ11?range=3mo&interval=1d "HTTP/1.1 200 OK"
2026-03-12 02:40:00,077 | INFO | apscheduler.executors.default | Running job "build_scheduler.<locals>.<lambda> (trigger: cron[minute='*/20'], next run at: 2026-03-12 02:40:00 KST)" (scheduled at 2026-03-12 02:40:00+09:00)
2026-03-12 02:40:01,246 | INFO | apscheduler.executors.default | Job "build_scheduler.<locals>.<lambda> (trigger: cron[minute='*/20'], next run at: 2026-03-12 03:00:00 KST)" executed successfully
2026-03-12 02:53:01,574 | INFO | httpx | HTTP Request: GET https://query1.finance.yahoo.com/v8/finance/chart/%5EKS11?range=3mo&interval=1d "HTTP/1.1 200 OK"
2026-03-12 02:53:02,167 | INFO | httpx | HTTP Request: GET https://query1.finance.yahoo.com/v8/finance/chart/%5EKQ11?range=3mo&interval=1d "HTTP/1.1 200 OK"
